=== 加载环境变量...
API配置: base_url=None, model_name=Qwen3-30B-A3B-GPTQ-Int4
API_KEY存在: True
=== 创建模型...
=== 模型创建成功
=== 创建agent...
=== Agent创建成功
=== 开始调用agent...
=== 注意: 由于HumanInTheLoopMiddleware，程序可能会等待人类输入...
=== 收到chunk: ('messages', (AIMessageChunk(content='', additional_kwargs={}, response_metadata={'model_provider': 'openai'}, id='lc_run--019d6ffc-4616-7d41-8521-596b89688b6a', tool_calls=[], invalid_tool_calls=[], tool_call_chunks=[]), {'thread_id': '1', 'langgraph_step': 1, 'langgraph_node': 'model', 'langgraph_triggers': ('branch:to:model',), 'langgraph_path': ('__pregel_pull', 'model'), 'langgraph_checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'ls_provider': 'openai', 'ls_model_name': 'Qwen3-30B-A3B-GPTQ-Int4', 'ls_model_type': 'chat', 'ls_temperature': None}))
=== 收到chunk: ('messages', (AIMessageChunk(content='<think>', additional_kwargs={}, response_metadata={'model_provider': 'openai'}, id='lc_run--019d6ffc-4616-7d41-8521-596b89688b6a', tool_calls=[], invalid_tool_calls=[], tool_call_chunks=[]), {'thread_id': '1', 'langgraph_step': 1, 'langgraph_node': 'model', 'langgraph_triggers': ('branch:to:model',), 'langgraph_path': ('__pregel_pull', 'model'), 'langgraph_checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'ls_provider': 'openai', 'ls_model_name': 'Qwen3-30B-A3B-GPTQ-Int4', 'ls_model_type': 'chat', 'ls_temperature': None}))
=== 收到chunk: ('messages', (AIMessageChunk(content='\n', additional_kwargs={}, response_metadata={'model_provider': 'openai'}, id='lc_run--019d6ffc-4616-7d41-8521-596b89688b6a', tool_calls=[], invalid_tool_calls=[], tool_call_chunks=[]), {'thread_id': '1', 'langgraph_step': 1, 'langgraph_node': 'model', 'langgraph_triggers': ('branch:to:model',), 'langgraph_path': ('__pregel_pull', 'model'), 'langgraph_checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'ls_provider': 'openai', 'ls_model_name': 'Qwen3-30B-A3B-GPTQ-Int4', 'ls_model_type': 'chat', 'ls_temperature': None}))
=== 收到chunk: ('messages', (AIMessageChunk(content='好的', additional_kwargs={}, response_metadata={'model_provider': 'openai'}, id='lc_run--019d6ffc-4616-7d41-8521-596b89688b6a', tool_calls=[], invalid_tool_calls=[], tool_call_chunks=[]), {'thread_id': '1', 'langgraph_step': 1, 'langgraph_node': 'model', 'langgraph_triggers': ('branch:to:model',), 'langgraph_path': ('__pregel_pull', 'model'), 'langgraph_checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'ls_provider': 'openai', 'ls_model_name': 'Qwen3-30B-A3B-GPTQ-Int4', 'ls_model_type': 'chat', 'ls_temperature': None}))
=== 收到chunk: ('messages', (AIMessageChunk(content='，', additional_kwargs={}, response_metadata={'model_provider': 'openai'}, id='lc_run--019d6ffc-4616-7d41-8521-596b89688b6a', tool_calls=[], invalid_tool_calls=[], tool_call_chunks=[]), {'thread_id': '1', 'langgraph_step': 1, 'langgraph_node': 'model', 'langgraph_triggers': ('branch:to:model',), 'langgraph_path': ('__pregel_pull', 'model'), 'langgraph_checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'ls_provider': 'openai', 'ls_model_name': 'Qwen3-30B-A3B-GPTQ-Int4', 'ls_model_type': 'chat', 'ls_temperature': None}))
=== 收到chunk: ('messages', (AIMessageChunk(content='用户', additional_kwargs={}, response_metadata={'model_provider': 'openai'}, id='lc_run--019d6ffc-4616-7d41-8521-596b89688b6a', tool_calls=[], invalid_tool_calls=[], tool_call_chunks=[]), {'thread_id': '1', 'langgraph_step': 1, 'langgraph_node': 'model', 'langgraph_triggers': ('branch:to:model',), 'langgraph_path': ('__pregel_pull', 'model'), 'langgraph_checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'ls_provider': 'openai', 'ls_model_name': 'Qwen3-30B-A3B-GPTQ-Int4', 'ls_model_type': 'chat', 'ls_temperature': None}))
=== 收到chunk: ('messages', (AIMessageChunk(content='让我', additional_kwargs={}, response_metadata={'model_provider': 'openai'}, id='lc_run--019d6ffc-4616-7d41-8521-596b89688b6a', tool_calls=[], invalid_tool_calls=[], tool_call_chunks=[]), {'thread_id': '1', 'langgraph_step': 1, 'langgraph_node': 'model', 'langgraph_triggers': ('branch:to:model',), 'langgraph_path': ('__pregel_pull', 'model'), 'langgraph_checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'ls_provider': 'openai', 'ls_model_name': 'Qwen3-30B-A3B-GPTQ-Int4', 'ls_model_type': 'chat', 'ls_temperature': None}))
=== 收到chunk: ('messages', (AIMessageChunk(content='发送', additional_kwargs={}, response_metadata={'model_provider': 'openai'}, id='lc_run--019d6ffc-4616-7d41-8521-596b89688b6a', tool_calls=[], invalid_tool_calls=[], tool_call_chunks=[]), {'thread_id': '1', 'langgraph_step': 1, 'langgraph_node': 'model', 'langgraph_triggers': ('branch:to:model',), 'langgraph_path': ('__pregel_pull', 'model'), 'langgraph_checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'ls_provider': 'openai', 'ls_model_name': 'Qwen3-30B-A3B-GPTQ-Int4', 'ls_model_type': 'chat', 'ls_temperature': None}))
=== 收到chunk: ('messages', (AIMessageChunk(content='一封', additional_kwargs={}, response_metadata={'model_provider': 'openai'}, id='lc_run--019d6ffc-4616-7d41-8521-596b89688b6a', tool_calls=[], invalid_tool_calls=[], tool_call_chunks=[]), {'thread_id': '1', 'langgraph_step': 1, 'langgraph_node': 'model', 'langgraph_triggers': ('branch:to:model',), 'langgraph_path': ('__pregel_pull', 'model'), 'langgraph_checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'ls_provider': 'openai', 'ls_model_name': 'Qwen3-30B-A3B-GPTQ-Int4', 'ls_model_type': 'chat', 'ls_temperature': None}))
=== 收到chunk: ('messages', (AIMessageChunk(content='邮件', additional_kwargs={}, response_metadata={'model_provider': 'openai'}, id='lc_run--019d6ffc-4616-7d41-8521-596b89688b6a', tool_calls=[], invalid_tool_calls=[], tool_call_chunks=[]), {'thread_id': '1', 'langgraph_step': 1, 'langgraph_node': 'model', 'langgraph_triggers': ('branch:to:model',), 'langgraph_path': ('__pregel_pull', 'model'), 'langgraph_checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'ls_provider': 'openai', 'ls_model_name': 'Qwen3-30B-A3B-GPTQ-Int4', 'ls_model_type': 'chat', 'ls_temperature': None}))
=== 收到chunk: ('messages', (AIMessageChunk(content='到', additional_kwargs={}, response_metadata={'model_provider': 'openai'}, id='lc_run--019d6ffc-4616-7d41-8521-596b89688b6a', tool_calls=[], invalid_tool_calls=[], tool_call_chunks=[]), {'thread_id': '1', 'langgraph_step': 1, 'langgraph_node': 'model', 'langgraph_triggers': ('branch:to:model',), 'langgraph_path': ('__pregel_pull', 'model'), 'langgraph_checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'checkpoint_ns': 'model:c6375dde-d8d7-bd56-2fd7-bb8ba5725fb7', 'ls_provider': 'openai', 'ls_model_name': 'Qwen3-30B-A3B-GPTQ-Int4', 'ls_model_type': 'chat', 'ls_temperature': None}))
